record_id,doi
rec-sha256-76bbe9aa293d56b9daed13cdcaaf4d31632b6f2b57a3c9fb31b5a1aa82ac5d1e,10.1016/s0097-8493(02)00093-6
rec-sha256-b3b7aef3cf33b7187257074a33bb417a606b34553ef6aacf25957ae6527bb6fa,10.1016/s0141-0296(02)00065-2
rec-sha256-c03f42f934967c75fc161ff9ec535a2d3b02f39f6ed1b34629598bb839ab1093,10.1016/s0142-1123(01)00182-7
rec-sha256-2eb2c2be17c39a389eca3b1c45e72957b3713d960287b368d6f842c637ca9c00,10.1016/s0165-0173(02)00178-9
rec-sha256-7ee133941e11f88af1e6a854e801fd99d23a17c1a755dce9e296f2db4e9c8e30,10.1016/s0165-0173(02)00179-0
rec-sha256-5845dc960be984dc12c5ae80ea400ec3e2f6fa44f99ff77c9e874337274ed0b7,10.1016/s0166-218x(01)00277-3
rec-sha256-c3a105f894c35a863469917e773a636e1ae10abe061c59fc3d99dae66976185d,10.1016/s0166-218x(01)00283-9
rec-sha256-3be3af6af70e40a66b5eb42e37532b57afa47d864fc6a63ab80217a93b4b8910,10.1016/s0166-218x(01)00288-8
rec-sha256-5bcc7c6612c053f82a3adbecd41088bcb420919355b8a7bc0661cb06a45fe0db,10.1016/s0166-218x(02)00321-9
rec-sha256-20d148123facbdbeefb42d176673ccd149ade3fdb38223b29d3d6f6d22e336b2,10.1016/s0167-4048(99)82015-x
rec-sha256-59b3f465a131fdfb2a2ccae1d1791c3dce75424cbd9c7c50a9be4534c2ffd964,10.1016/s0167-4048(99)82021-5
rec-sha256-3ecd0c822805cc8b10f15cdc9aa3e9371c722419ae0fd0338cd868976db0244a,10.1016/s0167-4048(99)82025-2
rec-sha256-bea1f923519b4486309c17b54f0a116ddbc4547934da6a32ceffda73ac8d0164,10.1016/s0167-4048(99)82041-0
rec-sha256-6c7b2f13deff41d5ffed368123a111252dedc55de1ac78267297214bbb13014e,10.1016/s0168-583x(01)01251-4
rec-sha256-e04225953db76a9565bfdc9af1a139a5c96f356b801dcbd84af03b855000e54a,10.1016/s0168-583x(01)01299-x
rec-sha256-12eebc5e854c916697f8c9e15df0a2c265c1ae6a485909555fcc42402fae8237,10.1016/s0168-583x(02)00712-7
rec-sha256-b43c8441fb83453f333ec6f1da8825179abe7cdcb01e0d29e331f5430d45191a,10.1016/s0260-8774(01)00168-6
rec-sha256-d4b3c9ec930a5acb46b4df147171ecc485b41773d3551b0a3fad31aa02ded764,10.1016/s0304-4157(98)00008-2
rec-sha256-e86a7d082e8629e36383bb8de33aaf64d3bdc2bd58f54ef6745af6b4eee18efd,10.1016/s0304-4157(99)00003-9
rec-sha256-0c7ea3c461e5a5a11559aa423a1e60ba5801171a87424cac8318d1efb69a232d,10.1016/s0304-8853(01)00757-0
rec-sha256-adbd7e7fd3ca0d63c9d966871214f0e5da397e17acb06804d572e014e8cb1958,10.1016/s0304-8853(01)00819-8
rec-sha256-f19821ff2c5850a952b95841ddc3db06cb93f728c4369cda75987caa33175e61,10.1016/s0304-8853(01)00950-7
rec-sha256-c2e7282b4f0afa7e8d7eb6f036d7515c9868893285dac6eca8db2e483a0b5c7c,10.1016/s0341-8162(02)00020-6
rec-sha256-02ed4b596f311cb7e0ab5004638e833dd4b5564e3cb905ee40e56fe5b30e4420,10.1016/s0375-9474(01)01588-3
rec-sha256-26ee6b5538fc4a9206862c2e2413ead502482b528ebfe87219d60565d0d50e3c,10.1016/s0378-2166(02)00051-6
rec-sha256-ed8ed06a956093930cf26d796c99fe607b3ab84d847dac9daa487ec22e3f08e7,10.1016/s0732-8893(02)00384-x
rec-sha256-5ab50b9c024c53b0434e3fdc36e3087a765754f2bdad53ce5b438d7292173e19,10.1016/s0885-2014(02)00069-2
rec-sha256-8829694975a92758e480b0b1e34a0797b83fc07db2fe7dbf844f8981f71ec557,10.1016/s0920-5861(01)00508-9
rec-sha256-116b8c812a4a71e65533f8284ea938bb6f316ccc47d328808fe99cf3e459b7f0,10.1016/s0925-8388(01)02020-5
rec-sha256-7f453377b8cdb0e4c1dd6ca11c9e746835e1348bbcd2ff5f44909a431679c3ad,10.1016/s0965-2590(00)09003-4
rec-sha256-40cacac9a983a7b6732c7d2e1d7f449c1e54c3108d4ee2a7c6db9270e0a08d74,10.1016/s0965-2590(01)00208-0
rec-sha256-cd69b2a988999c27c1f1ed9e2a36a5d1a8fd9357a53cc2fbc97522d2dc987d6a,10.1016/s0965-2590(01)00620-x
rec-sha256-b1c5a721ff5796bfb32ec4d09e4496b451e4d7fee1ea4e20805cd90846103733,10.1016/s0965-2590(01)00912-4
rec-sha256-4c7beb99638df872d2ceb0fbde85d83a81d2bdd8ca3882165c87ec042ff3ecf2,10.1016/s0965-2590(01)00915-x
rec-sha256-d22e63e55791cefe646b9b686be5b6a7f93415da202b87934e8ae4c566ca4f63,10.1016/s0965-2590(01)01002-7
rec-sha256-ec229a7fd2bfaf170b721015d41f6376f8a5b8b82ea74f38fb65a2e64a55ac1a,10.1016/s0965-2590(01)01109-4
rec-sha256-5cca724227413ebf10d9532bf4423eb2956838e699347ecc3ab490298a00c547,10.1016/s0965-2590(01)01115-x
rec-sha256-6f94b3bd9b98745b286c6d54ee1b50987d371d220561d560169fa2af1be6949a,10.1016/s0965-2590(02)00121-4
rec-sha256-2b631513001f455be3da765a65fa1f08d0c44c690d85bb06882e5378358de8d7,10.1016/s0990-7440(02)01160-9
rec-sha256-2d299289b0f011a41ebf29e82b08456c9922b142056f5919fb2af0c170ee42f0,10.1016/s1074-5521(02)00148-5
rec-sha256-d74e499270cc48cc934fa6727c49ec7c9cc19c6f07b3a86e15ff63162c1bc9ff,10.1016/s1074-5521(02)00157-6
rec-sha256-f75fe6cadd561e38fc95d24fd541eff3177f5db451f17ed6f0f79df0359badd3,10.1016/s1074-5521(02)00162-x
rec-sha256-25b1aadb848184e9ca877ac7e97ac60d2564a1390d72068514e25dfe25cbd98d,10.1016/s1631-0721(02)01486-9
rec-sha256-ff0377b6b168558b1c4854f23fe3d8b79d3e40229d607db2869e119603bca18f,10.1016/s1631-0721(02)01493-6
rec-sha256-f06697ac408dff99adc2e20c358fe7c3f525c053af93cb577ea437fb2cb15a02,10.1016/s8755-4615(96)90034-1
rec-sha256-05177e3fb0b5ae8199e1709dc1247be3952b81c5f45283953c4de442143c9feb,10.1016/s8755-4615(97)90025-6
rec-sha256-bc58187c30daf64865ef76f6d87bc21d0b7672c1bfc006d6d73168bc86ce46c5,10.1016/s8755-4615(97)90031-1
rec-sha256-2a108e57b4cc6b9ba618bf399c95b0db13ced136409b5039e74d0f4e98c1814f,10.1016/s8755-4615(97)90045-1
rec-sha256-93f29f590654d290554f2d76b2d7a9baf809730bacb58d77e95d7980d6a5a97d,10.1016/s8755-4615(98)90059-7
rec-sha256-0da5c55ec3a4c54cff80132898a91550d7e5261f2bc6f0d544e6d290e48a3233,10.1017/s0007123402000182
rec-sha256-e36374d7fd50ca20139e7b027e1bbe718903b2f4452ebd6a9bf029de7832a28a,10.1017/s0012162201212201
rec-sha256-63a858fd7ad788868fdd3c02de1295265f1dd795c2fe1dd331e1c4a17ab96118,10.1017/s0012162201232216
rec-sha256-c7f6ac396ee021345443d17da9b4b291879fb1fee6f0410bcb5d079bdff8af17,10.1017/s0013091500000523
rec-sha256-bbf69548f262c201c7a703c34659c9997cd10a210e61d088ced4dd0b24b2cd29,10.1017/s0013091501000189
rec-sha256-fbea3386e62098179eccad1f06c6a833773942ad80aaa309b7089ca7114ea87f,10.1017/s0014479702003071
rec-sha256-0ac4eec0b31660525a5f5b9e0c239e7d2bca83c39d265064117c25bd32da912a,10.1017/s0014479702253090
rec-sha256-855022aac866f2a5a68f8f233eb4ff2473901f1cbf6bc5c320450f468574aa3d,10.1017/s0014479702263097
rec-sha256-262d3be9fe612039bc4790144d8428371d96f028deaf1c9eb0b2e4bdc22bd562,10.1017/s0018246x02002418
rec-sha256-bac62e26498362283f347180267ed69a71451f5b0193ed7518ec45f259f67c22,10.1017/s0018246x02222517
rec-sha256-2d72309d79d87b2dd0390e36e5b712501d7e1db71c70285a7df1660a17302659,10.1017/s0022029901005325
rec-sha256-ca014c35b5c78923926ec4b38dd55b93af79a7fe48b98dddd3c96a43b179c5e7,10.1017/s0022112002008297
rec-sha256-f41a3104cceeec8df5238f3bff72c81579763d1b4e4ebd2d497f0c5dcb8ee086,10.1017/s0022112002008315
rec-sha256-664bb127cfea2e739d3fbe74bde2f0b0944c2c8623bf95ecc4c144d6f2c365b8,10.1017/s0022112002008534
rec-sha256-8def14c54cc9c302f1382a6ad092114a5637dab3c44166f2fcd42f4983e2f93e,10.1017/s0022377801001301
rec-sha256-acff4a5a7f4b4229320dd1ad504822a207f1a880cd7407c78fc1c34477e6b734,10.1017/s0025100302000178
rec-sha256-40c2b1c80ff8951bd924dfa4086d8e44f0b0324a3bd28092d7e592e8e3500467,10.1017/s0034412502006005
rec-sha256-aac35ecd8b9ea1785f458da8408a074e47bf891f932d0b97cd2d6310aa367d3b,10.1017/s0034412502216030
rec-sha256-d3dd069244f00c059d0fc6d706e2942327dae6da1d7e4e9c277c0e96ede5bbb9,10.1017/s0034412502216066
rec-sha256-a05bb4a18cd24c04d689514a478a5c8c080de27f70e8d4c392519915b8709721,10.1017/s0143385702000329
rec-sha256-2c771f08aeee9e38e80bef90e634d247d2a1f5c388300fb551a507f9497af1b6,10.1017/s0143385702000433
rec-sha256-f8b5337cc6a89114ed67f0dafc2b496f3163531774093a27e42c31040fb8e195,10.1017/s0143385702000457
rec-sha256-867a9cdd5057f8cd253a2663d493383a632f6299adc0099014cbc82a08f5af2c,10.1017/s0143385702000470
rec-sha256-1750d590f83524b1b4a67607d002242d336f99116a234628c89cd3e5ffd41821,10.1017/s0144686x02238817
rec-sha256-5ef8ccdb9af2dae44b4c27ab809e2f00ca0dc7acf5e76d3b8e176f9e21b88eaf,10.1017/s0144686x02268816
rec-sha256-96314ad633bf1c181da269d1b10aba2e7bf1055dd4c7e31c3af781ea99d61656,10.1017/s0261143002002106
rec-sha256-24c9ac17cadb66ac641318fae04de30d4b11ee9b1b6ba9cce91ca1d90a26153f,10.1017/s0261444802221746
rec-sha256-3301272d7632b067343bb84b84543095694c39b72d670967b56a12669a59349a,10.1017/s0266078402003048
rec-sha256-01562f5ebf6c897bd319a563c7af16af1c8ce82f97649447d4bdac984df61904,10.1017/s0266467402002377
rec-sha256-37163534a7f03a3a86767e837ce65e9ab2fa4598df56958e31aa8a16b2e95612,10.1017/s0266467402002419
rec-sha256-9b2e15f5a429c81349b93baef5f417781929cb0303576d48849da1894272a09d,10.1017/s0305000902005147
rec-sha256-ec5778cb4f441559a098c4cc08d9ffd3e15cb23c82af165517f79e1d5921b591,10.1017/s0305000902225350
rec-sha256-2dc7b2113d09843c26f5c5603eea8ad0856379ef64eba1dfe9cba2de22e5a144,10.1017/s0305004101005734
rec-sha256-14cd8f24eca34971116ae56c87ef9f6b00464171bf88609853a99d17f13d99b7,10.1017/s0305004101005783
rec-sha256-7bb0e20f75270e61be2e00ad89c82f3f1c8497e9ffb5562ea619d384b09d6d45,10.1017/s0305004101005813
rec-sha256-e8853c7fc385626a2cc4d542c8c1f19947284528b883a65cfd19723be19a080f,10.1017/s0373463302001704
rec-sha256-afbe8ac5453f143ca4246df4236882dbed45279f628cc78616524dcdbb28e181,10.1017/s0373463302221852
rec-sha256-e655e98f3c91845bd1362d25bf4857aa6dc798e84a2b6c92624c717e3e6e70b1,10.1017/s0376892902260075
rec-sha256-4143464f158c8a298eeceea8a85ddaa13f2e9f52c31eb3c473707587143929b2,10.1017/s0376892902270071
rec-sha256-39a6d93f5dccb98a83d43f87b92fb558092a3e71668cbd09babf859db672e7de,10.1017/s0952836902000778
rec-sha256-08eff0de8f95a46f39c78124539571319c02b8352ff92a9347046b7963a7c7cf,10.1017/s0953756201005494
rec-sha256-cdb05b55808ce9ec537364b1fb6375b8a4c3f8cdeefdd12b56a35e40334076ec,10.1017/s0953756202005567
rec-sha256-bbfe99a8e33e7c210e7213201675f851058ad2766815d4bf46aadf5a6fec9b7b,10.1017/s0954586701001410
rec-sha256-0c00d8cdcdd8375ade3c7b451837d9449b5fe1e2f3aeb0fa326f45e5dfe157e6,10.1017/s0956793302000225
rec-sha256-b43e559a3926bcea1f212c1f8a74cd35ffd56df82b9b0160761adbb3d09c1d73,10.1017/s0956793302220269
rec-sha256-fbf833cf52ee51f81a3eb3d3beaaf7038e745e98f70479041fc72fb73c6f172b,10.1017/s0956793302320260
rec-sha256-843bb7fee49b75415b8387f62cd5d4ff89374a817704e7dab3b52860c1298718,10.1017/s0957423901001096
rec-sha256-c3bf050b4e78e28d230d82da95163cbcd71a8bf6c8bb6dffc954bb5925251687,10.1017/s0957423902002072
rec-sha256-3f5e46225530d2b205f72d5d3f9ffd96b0374e19b473cbf6e77dc875afad502a,10.1017/s0958344002000216
rec-sha256-11cfb203e0fb93f23973f69fda3fc87a16c7ae6aa8be6aef67594775ff17cf2b,10.1017/s0958344002001313
rec-sha256-3ddbc6f2d398e4f56295fba468b1c04c836524488aafbe442d846cc87721b5c3,10.1017/s0958344002221515
rec-sha256-fb8e1514118e25e9a809e5843a03572a0b29d2d0be735edf26897660d608db2a,10.1017/s0960129501003565
rec-sha256-efe5c11d5b36a8b8db00a2672382d142b2010b69c8dd64f4906be245a0720a93,10.1017/s0960428602000045
rec-sha256-1147312afb3f524b8deb9757799bdbece9f9d63e5cb199ac699718bb1c288562,10.1017/s0960428602000070
rec-sha256-3ed13859fdd7908ce244e542b297ea7b83c7aabd57a4ed00eefa61b58facdfa4,10.1017/s0960428602000094
rec-sha256-78d58ebd149394d0ac086ad33a92d3acdf37670c3138c407ab91f7d2446bb564,10.1017/s0960428602000100
rec-sha256-8c2744d3c375de60794abd57b21d37a4fd0dd76acc916e6ca065159e220c2980,10.1017/s0960428602000136
rec-sha256-192d2ed8b0dfeb035e1a10bb19a20a2200eeacac3a3436824238ec0fa075e571,10.1017/s0960428602000148
rec-sha256-b3a6dc86bd16c3519ef915fc90cae4fb2eaf82c390cff50409a259a257e55e78,10.1017/s0960428602220156
rec-sha256-c3d6cce68e75abd6bc2af6427c73e1f0e681efdf1212a1650de7da7730a9aaab,10.1017/s0960428602260151
rec-sha256-c987769f8e8d9f1bdf235d2687b01e1f404d5241dd0e6bec71f317e3c5969380,10.1017/s0960777302002084
rec-sha256-8390a4505573c9f028770373a960a6c8401d959b13f005fef0f01d81ead284e5,10.1017/s0962279901000321
rec-sha256-79a119656c1bc80f6f37c2d87e3b08bc2404884211a587bd6fb6dd80cf46d407,10.1017/s0962279901000333
rec-sha256-0168875ee56764180a7b3daa34774beafa05460f90e2d0f81f44b443af378a2e,10.1017/s0962279901000345
rec-sha256-7a7d521df0bc8f380dc3001b534f2817f0ea07a620a638b42a07c88bd8238c4e,10.1017/s0963548301005090
rec-sha256-0bce8505ebd1b329285a3107ce20a3657afabbed44cba3af1de690b7c91afac3,10.1017/s0965539502000232
rec-sha256-b16cd6143307ac3f5b146df585468e47f79c143c1211d000f237aa00dd754c95,10.1017/s0967026202003554
rec-sha256-8a4e08ee874b16848965e1ba6e944efe0461d024d84359b5bce7bb001d81f3f4,10.1017/s0967026202003608
rec-sha256-979dc856f4cef9d933870b647c9628d231a3df700c927661d138fa93ae46832c,10.1017/s0967026202003682
rec-sha256-57111aaf70bb662d708338131ce13257b60c58a34069333da64a63f110d66a2d,10.1017/s0967199402002162
rec-sha256-258b90a28712284ee3c3e8c034243548fcf764829145583dbf30de3bcc4cb505,10.1017/s0968045402000020
rec-sha256-b754e1e17eb0e5f09d08d0431c20ea3ef2d2dffa83db63fb001a139b9c27944b,10.1017/s0968045402000032
rec-sha256-2d8ca54b820b7fbd266365c3b99c77e1a8093638dbe4afdb98edc5218f953b69,10.1017/s0968046202000025
rec-sha256-b364a95bb6241cec3ebebd0ce0f03250afef45b18bad5faa410f6ad4b884af69,10.1017/s0968047002000055
rec-sha256-ff56fab080750d1e4a70763585a75904333c5689be0206828b9176e0f4e0b3e0,10.1017/s0968565001000221
rec-sha256-9a42c32ce21d958d4d3c7935ddd311aac3bd1ce7f9c30da4e23407fd77f08f16,10.1017/s0968565001240268
rec-sha256-5c791ad3f88e2edde39025fc1880895ddb06de7e252a47245f2d2245c2411e08,10.1017/s1062798702000121
rec-sha256-279ef09f7cfaa90fb062f31608e4e51798e3dc7ee288bc6f76323b2cc87d09f7,10.1017/s1355770x02210347
rec-sha256-eff65a301e499a3bef8e4fd6d9a8a47f45ef965e554ca1cfd1e377acc5b52f52,10.1017/s1355770x02250342
rec-sha256-752504702561eeb6db8408202cf1d072958c4af7341ec9b459fd48c2f56bb484,10.1017/s1359135502221429
rec-sha256-977062f88ac2b1e91ab420771b6b1034ec58f5cc874c7bed3c8a91f2cbd4dd1a,10.1017/s1367943002002159
rec-sha256-c1d315cd38af71b9d8e5e632c98bec769f8b9722b6647fda38e789a7c67c4e51,10.1017/s1464793101005863
rec-sha256-02581979f0530906503c3ffc09d31cff2c2d83e65c28d50bdf504b5495150371,10.1017/s1468109902210178
rec-sha256-484f5712fd6be05c9046a6ccf9aa6797ec5c051433cf1877840ce215033780ef,10.1017/s1468109902220174
rec-sha256-4442949a9560511e4b7d47b7259c09714ade7cdc5b4fd3cea37dd53aaf80755d,10.1017/s1474746402001045
rec-sha256-c082358a38c1e0cf8d734c015915f6d37e81439f71646c8abb9a1c1b39209905,10.1017/s1474746402001057
rec-sha256-656d3fc2354dd94195097bd224c23535df992643eaa9c43371f32632c9504fb6,10.1017/s1474746402001082
rec-sha256-7fdec67bc18f59972aaba5ef6f31cfa2048c5e7d189927f5a7c618ac81619533,10.1017/s1474746402003093
rec-sha256-374376187727c402f290bab6349ca1e04e575243b9bb5ee21fce864b11708857,10.1021/ac011168l
rec-sha256-97f5c0b5be3fa2f8203c71465d00ce18301d1f80c8cfdb76d4084a632464599c,10.1021/ac011218m
rec-sha256-53fa0eef6b505ce12ddf088f9ba12da4b05e129cfc38f8ae1a897a23a0148b94,10.1021/ac0112519
rec-sha256-b5da3f626f4a0d5930845c4583641776d5a441cc836710f109ad5f336aa4a24f,10.1021/ac0156464
rec-sha256-0a5a690a69717a23a93e7c36d2df256497e823aeeea69cad58142f30457f5d37,10.1021/ac0156722
rec-sha256-2a59c60d951d136c456bc0365f94ebfa2620a71925aab452c7e342a10bb97994,10.1021/ac015681a
rec-sha256-04b5663645e5e73c9a508165e893bc86a339ce76365eb58bee18e39f14c92d47,10.1021/ac015685f
rec-sha256-c03a81fec4170992abb7cbd71837d530e206927f5acb77a5235be4f98e8430a2,10.1021/ac015700g
rec-sha256-04d17374f770e6208608153a743345b80b61232bd3002536beaaab06b8e3dc7c,10.1021/ac020069k
rec-sha256-a11d662f73881e65536e5a3a50d31f5cbb6eb80e1bcfbfa715ca2efa374b4a17,10.1021/ac025504p
rec-sha256-f3e6e59d5b3b3916a9cd44d765d0ff41aa0ea56daf2ea919cd449800f755b50f,10.1021/ar0100172
rec-sha256-4499fcf9cce8c4676ed0b1407b84f0fac5cb44931c5be881b7aad047a4441195,10.1021/ar010018u
rec-sha256-4e8cc3d3ddc6e126620e0caa7b9c77e628cb7156167ac9e103aedb84e582df8c,10.1021/ar010021d
rec-sha256-f3bb46b6d8b17ec41d3124a88e3aeaebd271d51c50439ddbe7ecc5430996d6df,10.1021/ar0100273
rec-sha256-aaa80c4e677d48d70dd7d808ccb4347786b1e6c4b12105d5d39e51b63ccc5e14,10.1021/ar010030m
rec-sha256-f7f63c839cd3a205bc25107eb792853cad1d9e40cde6c7f792d3931b27bd9539,10.1021/ar010034r
rec-sha256-7e037217963ec9d3d4c2a55435989f87909f3f3d275f93e9f4fd00d6d6ef0767,10.1021/bc015568r
rec-sha256-e7d068c8f0bf6973e7822acec8c91ec524866410b667ac6b387bc52660695ab4,10.1021/bi012117l
rec-sha256-77d0ac5fd7f4d6343bd6e3b73df40c73288cd91e7bec39d079b4a6b2f192d191,10.1021/bi012180a
rec-sha256-4f5ebe93942949a393acbd6779f732939426cd5a4ee48a1e2a1452a7c6fb0ecc,10.1021/bi016069g
rec-sha256-4cd2d819b5e1c2222bda258cb33ec7a78af0fbcaf5f50d1ccec9284e71b0be2e,10.1021/bi0200155
rec-sha256-e74b6bd23587aae4a15d4952faf147e55bb3202d4eebeb75991f41556ee27c98,10.1021/bi0201419
rec-sha256-0f73b846fff0edc6870ade687c9d466e59943ebe53f354847eb0e4ed619c3f04,10.1021/bi025569m
rec-sha256-70da9f1851c5ba3c0671a6521ba99aa588df60c1e30c7f3d29a84eb31b37f221,10.1021/bi025759x
rec-sha256-036fe3ba59f16fd6bccf81c9cb980b2ab4d8569ef09b41002beef5f3d3041738,10.1021/bi025771p
rec-sha256-e7ed3c0fde99f8a73da9adb9fb8f8b686e9b14b5955828b58dff896f31b7df92,10.1021/bi025810x
rec-sha256-a216b22da58d4bb892112d54ced43c1dab1e38ebcfbb1d041be29d359261f0f0,10.1021/bi0258647
rec-sha256-32af9df8fa4a0a6da158be28e3ba462453d6f7be47ff4160a5a94273c6da973d,10.1021/bi0258952
rec-sha256-53ea465b57cbe5dfc116080734fa589f002f8ef2b14b83d424ec2acf09cf4adc,10.1021/bi0259709
rec-sha256-6cd8ded123341aa7bfe49f8a658d441ad49f213388e6f71bab629773a42ad34c,10.1021/bm0156126
